weak,strong,rule,failures,ler,escalation,silent,unconverged,catch,harm,worse,better,p,cost_us,breakeven,saving,ler_low,ler_high
BP-ms-30,LSD-0,primary_fail,7,0.00035,0.87205,0,0,0,0,0,0,1.0,1151322.5393583123,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,flag>=1,7,0.00035,0.9703,0,0,0,0,0,0,1.0,558652.6212869255,0.11007786678617451,0.5147731394207833,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,flag>=2,7,0.00035,0.92615,0,0,0,0,0,0,1.0,706024.6252775261,0.08296273577672142,0.38677077782996605,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,flag>=3,7,0.00035,0.89545,0,0,0,0,0,0,1.0,885654.2728307244,0.06169259161613492,0.2307505129497922,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,flag>=4,7,0.00035,0.8794,0,0,0,0,0,0,1.0,1020617.3389165153,0.03984819734345334,0.11352613709329906,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,rounds>=2,7,0.00035,0.92045,0,0,0,0,0,0,1.0,740449.3322014031,0.08059950041631973,0.35687063625620385,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,rounds>=3,7,0.00035,0.88745,0,0,0,0,0,0,1.0,958883.7989771843,0.056286549707602225,0.16714581171005594,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-0,flag-only,896,0.0448,0.89255,0,889,0,0,889,0,4.845781754539109e-268,517854.6653713005,0.02296790095792949,0.5502088705221337,0.04201936378249311,0.04775547226699851
BP-ms-30,LSD-CS4,primary_fail,7,0.00035,0.87205,0,0,0,0,0,0,1.0,1195234.285464953,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,flag>=1,7,0.00035,0.9703,0,0,0,0,0,0,1.0,604447.2798240837,0.11007786678617451,0.4942855244577006,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,flag>=2,7,0.00035,0.92615,0,0,0,0,0,0,1.0,751118.4711067497,0.08296273577672142,0.37157218443197493,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,flag>=3,7,0.00035,0.89545,0,0,0,0,0,0,1.0,930143.7830598748,0.06169259161613492,0.2217895734993549,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,flag>=4,7,0.00035,0.8794,0,0,0,0,0,0,1.0,1064743.1801854607,0.03984819734345334,0.10917617312887773,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,rounds>=2,7,0.00035,0.92045,0,0,0,0,0,0,1.0,785398.8359307732,0.08059950041631973,0.3428913096939412,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,rounds>=3,7,0.00035,0.88745,0,0,0,0,0,0,1.0,1003133.1877442742,0.056286549707602225,0.16072254624619509,0.00016955101329104707,0.0007223576688892798
BP-ms-30,LSD-CS4,flag-only,896,0.0448,0.89255,0,889,0,0,889,0,4.845781754539109e-268,559364.9215250603,0.02296790095792949,0.5320039524238847,0.04201936378249311,0.04775547226699851
BP-ps-30,OSD-0,primary_fail,7,0.00035,0.78505,0,0,0,0,0,0,1.0,1209622.2892051658,nan,0.0,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,flag>=1,7,0.00035,0.95345,0,0,0,0,0,0,1.0,663463.9231116356,0.1886729034787967,0.45151149327151285,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,flag>=2,7,0.00035,0.88335,0,0,0,0,0,0,1.0,786784.1695392479,0.15074375095844186,0.3495621099572841,0.00016955101329104707,0.0007223576688892798
BP-ps-30,OSD-0,flag>=3,7,0.00035,0.82735,0,0,0,0,0,0,1.0,948144.9173530663,0.11152122330609017,0.2161644789332664,0.00016955101329104707,0.0007223576688892798
